industry,active_weight_mean,active_weight_abs_mean
机械基件,0.031100495877594652,0.033454333020997644
电气设备,0.009124065746829734,0.033134650150942316
专用机械,0.017621373300601487,0.03191074223335496
软件服务,0.006548420552299553,0.02705043469240909
元器件,-0.006993532448858238,0.026823518276441676
汽车配件,-0.008995663133246954,0.023638318575945443
半导体,-0.0016806663070236083,0.023473689000771108
化工原料,-0.007448988863996354,0.022695219995990414
医疗保健,-0.004952316807795411,0.02247195960598908
通信设备,0.004472350721691851,0.01935748170293967
家居用品,0.013230906444045466,0.018005434097893656
环境保护,0.0018651094089651788,0.01731318636176292
塑料,0.010401617741333776,0.01671749959263985
矿物制品,0.011399413150420168,0.01576261717637877
化学制药,0.0021352163299817616,0.015751084087721464
服饰,0.0069185091827374985,0.01571145635073771
电器仪表,0.0006186308734566151,0.015210950572376354
食品,-0.00522643865091627,0.015140693984618788
家用电器,0.0032766012856938207,0.015002810511939853
建筑工程,-0.00028750321755647673,0.014675445542127437
文教休闲,0.005805465281930417,0.014569859538004567
影视音像,0.009968792952207699,0.013982679827223473
其他商业,0.0123868788689498,0.013906244516431927
广告包装,0.004662833898533066,0.013723734448399244
生物制药,0.0010594738829333133,0.013625856413370937
IT设备,0.0034406294162115446,0.013623929620960163
互联网,-0.0036338043754836147,0.013414252739755345
供气供热,0.002727727961554374,0.01293231370833776
小金属,-0.003566581026854973,0.012305073164900893
中成药,-0.006087250557875003,0.011920581028438687
纺织,0.002448619082459029,0.011771201798874675
造纸,0.005131011018279336,0.011358800840792237
运输设备,-0.0005107169140496448,0.01134711563743236
航空,-0.0033361476402278155,0.010881105517154006
区域地产,0.0007986614118026394,0.010847906848516614
农药化肥,-0.001712987922410261,0.010600221773844232
其他建材,0.0020326963392937967,0.010018580305222513
证券,-0.009347968512135115,0.009714770655904162
工程机械,-0.001294151900352754,0.009395428484997121
农业综合,-0.002080060960477888,0.009291102110248046
仓储物流,-0.004680211163642177,0.009095169954094325
普钢,0.0008421194670842545,0.008669239586613685
百货,-0.0017733435560334087,0.008470113988878427
银行,-0.008200139814050808,0.008200139814050808
染料涂料,-0.0016816920906849878,0.008094017523769089
全国地产,0.0009657227857331335,0.00793525594323908
水运,0.0022964189472687354,0.007833163491132005
装修装饰,0.0022492401365306097,0.0076040504824575915
医药商业,-0.004935840195593537,0.007338150460634899
新型电力,-0.002610919971361012,0.007100725026090574
化纤,-0.0026939969537963415,0.007090580565858915
玻璃,0.0014105792903317213,0.00678061089927415
铝,-0.0030589758087961215,0.0066960682809336656
机床制造,-0.0007067689715297541,0.006682525640533002
火力发电,-0.004906595644345574,0.006503281703402941
出版业,-0.003601980890985523,0.00640533225052994
多元金融,-0.0008100603924392829,0.006335498610457046
钢加工,-0.0015418028664403202,0.006177386835614944
乳制品,-0.00042134499939785384,0.006117543651512597
日用化工,-0.0006533425032632626,0.0059865367848063065
石油开采,-0.00018325789908497553,0.0056419427327108855
汽车整车,-0.0021319665351460853,0.005628649644275983
煤炭开采,-0.0037229260010879597,0.005451178724390564
铜,-0.000489190707914385,0.0053824883067480405
饲料,-0.003103866753899887,0.005248038171695364
综合类,-0.00048514128855572144,0.005208094595577645
水泥,-0.00296641905943197,0.005041251329792783
水力发电,-0.0032083068146665163,0.004935262598872903
石油加工,-0.0003034378045188645,0.004183471234896688
种植业,-0.0030442110681710337,0.004121709701343563
旅游景点,-0.0024198491236825325,0.003921331108457626
铅锌,-0.001106502518282157,0.003910336143715918
路桥,-0.00346934681849703,0.0038609620286997647
农用机械,1.7463488845949843e-05,0.0038430604290557763
船舶,2.4552629271828857e-05,0.003835501681440343
橡胶,-0.0015322709890487401,0.0037270325914241153
白酒,-0.0037095870587372706,0.0037095870587372706
商贸代理,-0.0014009195614980824,0.003681407239628295
摩托车,-0.0007166593453713798,0.003595803790024723
房产服务,-0.000760418194014816,0.003228447381880041
港口,-0.0030007770301028617,0.0032036294270288575
水务,-0.002126847361707838,0.003163254163922839
化工机械,-0.0016902338233653609,0.003157131507400207
黄金,-0.0006835773191643781,0.0029569681318463107
园区开发,-0.0016221763690080818,0.002894377615005036
纺织机械,-0.0008594870459193631,0.0028111445980862396
特种钢,-0.0015314078692147842,0.0022901605287716786
汽车服务,-0.0011565722166960012,0.002252408811083478
软饮料,-0.0012708027095310814,0.0021474951381280334
超市连锁,-0.001020799477463707,0.002017008933896436
公共交通,-0.0008803449715250805,0.0017754074610319553
焦炭加工,-0.0010063296086481076,0.0016779341995421517
啤酒,-0.0006309080043238607,0.0016479824499919195
空运,-0.001561931393152535,0.001561931393152535
酒店餐饮,-0.0015590081365620047,0.0015590081365620047
林业,0.0003769890732186789,0.0014892428898268335
电信运营,-0.0004327221129270672,0.0014614262592372931
渔业,-0.001306629908948408,0.0014185642732192209
轻工机械,-0.000931208304624161,0.0013833696981718296
旅游服务,-0.001366689969008468,0.001366689969008468
铁路,-0.001366689969008468,0.001366689969008468
陶瓷,-0.0007359668804800941,0.0011930731371731641
红黄酒,-0.0011685618188051014,0.0011685618188051014
机场,-0.0009762071207203343,0.0009762071207203345
批发业,-0.0009762071207203343,0.0009762071207203345
保险,-0.0009762071207203343,0.0009762071207203345
商品城,-0.0007809656965762675,0.0007809656965762675
石油贸易,-0.0007809656965762675,0.0007809656965762675
公路,-0.00039048284828813374,0.00039048284828813374
未知行业,-0.0001953648347088459,0.00019536483470884586
电器连锁,-0.00019524142414406687,0.00019524142414406687
