trade_date,q1,q2,q3,q4,q5,long_short,long_short_nav
20250102,-0.035690222,-0.032143205,-0.033841215,-0.036051366,-0.033272192,0.00241803,1.002418
20250103,-0.012474279,-0.0044848463,-0.0018576427,-0.00049002375,-0.0009811214,0.011493158,1.013939
20250106,0.023792982,0.016372362,0.018674234,0.022199806,0.027365983,0.0035730004,1.0175618
20250107,0.0048020147,-0.0009953162,-0.0019546323,-0.0020458682,-0.0022695712,-0.007071586,1.010366
20250108,0.0047303876,0.0049500787,0.003103015,0.0029264844,0.003076026,-0.0016543616,1.0086944
20250109,-0.029201271,-0.025001539,-0.02640903,-0.02793155,-0.02838493,0.0008163415,1.0095179
20250110,-0.0058244765,0.00012555311,0.002146803,0.003420353,0.0051777316,0.011002208,1.0206248
20250113,0.05410931,0.04628883,0.046846807,0.045134243,0.049119405,-0.0049899034,1.0155319
20250114,-0.007061804,-0.006345301,-0.0036036647,-0.002645851,-0.00091268856,0.0061491155,1.0217766
20250115,0.0031495779,0.0061033918,0.0063108774,0.007641436,0.007936596,0.004787018,1.0266677
20250116,-0.0005521514,0.002229693,0.0024806657,0.0019072713,0.00051107205,0.0010632235,1.0277593
20250117,0.006487015,0.008321602,0.00792239,0.010301055,0.013586736,0.007099721,1.0350561
20250120,0.01033392,0.0012286319,-0.0022870998,-0.0049329055,-0.006470131,-0.01680405,1.017663
20250121,-0.012351333,-0.010855439,-0.011370253,-0.0106784655,-0.009817863,0.0025334703,1.0202411
20250122,-0.0072447076,-0.0028627322,-0.001027251,0.0022670813,0.003203128,0.010447836,1.0309005
20250123,0.017573446,0.013807164,0.011768869,0.009952917,0.009985352,-0.007588094,1.023078
20250124,-0.02685783,-0.013460043,-0.008668348,-0.0032082365,-0.00017132603,0.026686504,1.0503803
20250127,0.012724369,0.010198438,0.009431564,0.0069896053,0.006524527,-0.006199842,1.0438682
20250205,0.03842656,0.025265671,0.021626579,0.018115414,0.016870584,-0.021555975,1.0213666
20250206,0.019430006,0.015061753,0.01360182,0.012404065,0.012298606,-0.0071313996,1.0140828
20250207,0.026334766,0.017150419,0.0151209785,0.016167289,0.015889792,-0.0104449745,1.0034907
20250210,-0.00024503004,-0.0019040256,-0.0030404616,-0.0013687803,0.00023869798,0.000483728,1.0039761
20250211,0.02114055,0.013135316,0.008877575,0.006419834,0.003949329,-0.01719122,0.9867165
20250212,-0.016383283,-0.010903447,-0.008341315,-0.009165756,-0.00972941,0.0066538732,0.993282
20250213,0.005439771,0.0041158125,0.002395706,0.0017775963,0.0022018177,-0.0032379532,0.9900658
20250214,0.016498027,0.010406949,0.010733705,0.010657703,0.0135837775,-0.00291425,0.98718053
20250217,-0.035648145,-0.02373105,-0.020494107,-0.01915581,-0.019532531,0.016115613,1.0030895
20250218,0.036854226,0.025497308,0.019130806,0.016757207,0.01513817,-0.021716056,0.9813064
20250219,0.009198638,0.011052582,0.010395376,0.0102783805,0.01045822,0.0012595821,0.9825424
20250220,0.030437501,0.012735328,0.0058489605,0.001197738,-0.0011344531,-0.031571954,0.9515216
20250221,-0.0049319514,0.00045412933,0.0047768326,0.0061417017,0.008232203,0.013164155,0.96404755
20250224,-0.0033162448,-0.0031353552,-0.0042023654,-0.0052794837,-0.0068437066,-0.0035274618,0.9606469
20250225,0.01653404,0.013656673,0.014004847,0.014662471,0.01523345,-0.0013005901,0.95939755
20250226,-0.007783193,-0.0007688268,0.0018558356,0.0027906597,0.0038702849,0.011653478,0.97057784
20250227,-0.05270183,-0.035789475,-0.027034461,-0.02164667,-0.019415243,0.033286586,1.0028851
20250228,-0.0005812713,0.008835798,0.007684275,0.008770562,0.009752592,0.010333863,1.0132488
20250303,0.013841566,0.014863196,0.01528261,0.013196604,0.015252955,0.0014113896,1.014679
20250304,0.012512923,0.0066278223,0.0025849307,0.00066201674,-0.0041330713,-0.016645994,0.99778867
20250305,0.022693422,0.017549824,0.014501626,0.012863526,0.013951762,-0.00874166,0.9890663
20250306,-0.0056891018,-0.0034460851,-0.0032049003,-0.0028654672,-0.0033591408,0.002329961,0.9913708
20250307,-5.490574e-06,0.004047528,0.0077391714,0.009331964,0.011152159,0.01115765,1.0024321
20250310,0.0034981826,0.0038838668,0.0046799243,0.004823454,0.00491487,0.0014166874,1.0038522
20250311,0.0048327474,0.0038838782,0.00629492,0.0038206377,0.0036499514,-0.001182796,1.0026649
20250312,-0.022280425,-0.013024082,-0.00876881,-0.0059581446,-0.0026176006,0.019662824,1.0223802
20250313,0.015660081,0.019269498,0.01675654,0.01907681,0.020346235,0.0046861544,1.0271713
20250314,0.0051324456,0.005314323,0.006190405,0.007377797,0.0079352865,0.002802841,1.0300503
20250317,0.0042493423,0.0072492505,0.0064093545,0.0055484907,0.0058995173,0.0016501751,1.0317501
20250318,-0.016975667,-0.008965062,-0.005175468,-0.0038918732,-0.0042521507,0.012723517,1.0448776
